,best_node.mean,best_node.sd,elite_nn.mean,elite_nn.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,one_nn.mean,one_nn.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd,dataset
133,0.6126923076923078,0.019699417786929248,0.5157692307692308,0.0352715585172627,0.5607692307692307,0.03458213027540775,0.5976923076923077,0.024607370490277072,0.6515384615384616,0.027268841992093177,0.5115384615384615,0.018842228790639817,0.4896153846153847,0.023988409430019488,madelon
134,0.9785385302811577,0.003796240259904346,0.9800586231317574,0.005904940605141849,0.9757668407615412,0.003193414698943297,0.9556461733498957,0.005617770302209424,0.9846193013503944,0.001970399014722935,0.9767504208491802,1.0038986045287706e-05,0.9767504208491802,1.0038986045287706e-05,mammography
135,0.9928165275455371,0.0004432456653114092,0.9901757190281538,0.0036593059217466845,0.9762303792325158,0.004322848503219027,0.9617580609513519,0.008846148587960949,0.991020715244089,0.002184517978115285,0.9928165275455371,0.0004432456653114092,0.9928165275455371,0.0004432456653114092,mc1
136,0.8713352685050799,0.08780795152883947,,,,,,,,,0.8977503628447024,0.009456883570798987,0.8977503628447024,0.009456883570798987,meta
137,0.191,0.005163977794943227,0.25149999999999995,0.03456475404544668,0.9809999999999999,0.008432740427115686,0.9255000000000001,0.01571446608843088,0.9475,0.01874536979866997,0.186,0.00843274042711568,0.182,0.017511900715418263,mfeat-factors
138,0.1646400483968542,0.026507300909614104,0.11560798548094373,0.026499533522569146,0.4834240774349666,0.08907631419230717,0.7846642468239564,0.05632390936672405,0.6725650332728373,0.05564857319159584,0.10332728372655778,0.005513667061950997,0.1278886872353297,0.03527173816865367,micro-mass
139,0.5429499999999999,0.03832133870312989,0.38889999999999997,0.017563851766878726,0.5144,0.07846471252168781,0.265,0.04238055109494343,0.34285,0.06300839891104465,0.5429499999999999,0.03832133870312989,0.5580999999999999,0.00021081851067786874,microaggregation2
140,0.1986,0.0016243610290925072,0.15584285714285712,0.03271643092710007,0.8663000000000001,0.010041964104890047,0.5726428571428571,0.007479147125398462,0.9713714285714286,0.00291388107990798,0.12825714285714285,0.0019826915442491748,0.11594285714285715,0.005301007477084789,mnist_784
141,0.9344491758639668,0.023845259964012926,0.9213285908784302,0.025540192417242195,0.8003937975642156,0.03475541692408363,0.6766169660703423,0.07663514975561635,0.8882666451476741,0.03165355724037299,0.6438110549686114,0.051415588006780935,0.67140560404226,0.00023621710874217747,mozilla4
142,0.5700000000000001,0.05011098792790968,0.53,0.06548960901462836,0.578,0.05846176338238335,0.564,0.05059644256269407,0.5599999999999999,0.10624918300339485,0.492,0.031552425509864625,0.48600000000000004,0.031340424729448424,no2
143,0.8472335242855875,0.058235102459161324,0.7540408433418682,0.02819570194458384,0.9316103348256266,0.04017500574089438,0.8237037312046895,0.06301378772858174,0.92656117905819,0.02887314242576791,0.7753642547684605,0.036795142265561895,0.7035259743725607,0.022299730692568194,nomao
144,0.51531353820598,0.0029714584506545434,0.5000207641196013,0.005331209891483499,0.5219372923588039,0.003242739057584764,0.5186461794019933,0.0035704492506402185,0.5029485049833886,0.004912517462579564,0.5048172757475082,0.0007818394931585245,0.5075581395348838,0.0038408320746112718,numerai28_6
145,,,,,,,,,,,,,,,nyc-taxi-green-dec-2016
146,0.7157061593424912,4.4569063211300126e-05,,,,,,,,,0.7157061593424912,4.4569063211300126e-05,0.7157061593424912,4.4569063211300126e-05,okcupid-stem
147,0.19466192170818503,0.0035784349060494322,0.19288256227758008,0.0367179009081906,0.9469750889679716,0.01161667204967508,0.7905693950177936,0.02315523330941611,0.9843416370106762,0.0054230744724377035,0.10177935943060498,0.000750243810241606,0.12028469750889678,0.01258756194057633,optdigits
148,0.919929351716411,0.05348226084752449,0.8832155861940183,0.03478822351500241,0.9313420061622733,0.015641063506503544,0.6890604089508574,0.12241194503570532,0.8887024991441287,0.030265807900499188,0.9368584855746788,0.00012857309875055433,0.9368584855746788,0.00012857309875055433,ozone-level-8hr
149,0.9312944528216283,0.020044720409235252,0.8962075821668289,0.05057621831455882,0.9409823322969348,0.023108654683476965,0.8687956204379563,0.06422456962530741,0.9475563458279401,0.01918086003012971,0.8976794459493721,9.024196321749351e-05,0.9077306209050029,0.006073994260469663,page-blocks
150,0.44396333754740835,0.0357856881268488,0.4991229456384323,0.032786390741419945,0.4217209228824273,0.04752101039098714,0.4226137800252845,0.05081249109893522,0.7267383059418457,0.08946479758644338,0.47867414664981034,0.031944719674767474,0.44396333754740835,0.0357856881268488,parity5_plus_5
151,0.6467644726407613,0.04447001768751838,0.35022204599524187,0.1031916201358159,,,,,,,0.5012899814961671,0.005326718110260201,0.6009780597409463,0.056818748713109934,pbcseq
152,0.926969696969697,0.00780991229902097,0.7503931203931204,0.16170185752341965,0.9278705978705979,0.01848161642900723,0.8918018018018017,0.03866872178931693,0.8864373464373465,0.04764117118497522,0.9305733005733006,0.004262311568102663,0.9305733005733006,0.004262311568102663,pc1
153,0.9955267663069612,0.001265708592584282,0.9940949981085015,0.0020768588070837098,0.9892652650342073,0.0042988177171380745,0.9760231724597815,0.007171027724580595,0.9919479869967492,0.0025670381694027295,0.9958848686530608,0.000863684835954865,0.9955267663069612,0.001265708592584282,pc2
154,0.8976318797974849,0.0003155615819301921,0.8771476400457292,0.021367395237311824,0.8944063367630246,0.020677433443696897,0.2868365180467091,0.20956029024335548,0.8387963416625837,0.019719891992979008,0.8976318797974849,0.0003155615819301921,0.8976318797974849,0.0003155615819301921,pc3
155,0.8779215871516296,0.0025493405164638953,0.8628105810108645,0.020539286947452832,0.9067076051015588,0.015357265639090095,0.8737883797827115,0.028976816382582978,0.820977798771847,0.026784025629154228,0.8779215871516296,0.0025493405164638953,0.8779215871516296,0.0025493405164638953,pc4
156,0.20087410042187112,0.0062369250182915245,0.255179171147324,0.03611897891699143,0.8761784266688725,0.02506119228406267,0.8559820497973364,0.01895591963947068,0.9930856977417488,0.0021959415174063186,0.2032383158243031,0.004228164589137478,0.20278459756803707,0.004183586227500916,pendigits
157,0.727020430461242,0.017920643018988408,0.6562060903686647,0.030471351031378928,0.7244507624709227,0.01742355073925217,0.6932440846824408,0.010337880609695167,0.5692732442021664,0.01462629598224771,0.5164606781174369,0.012293556168553231,0.5614088676895604,0.07546823321586868,philippine
